
,3342
a,42550
ɟ,897
്,19187
ɲ,654
aː,6319
t̪,7021
n,6807
t,1640
̱,1640
e,4602
b,830
ʱ,1196
ɡ,683
ʋ,4153
d̪,957
iː,901
j,4603
u,8485
ʈ,3177
p,3470
ɾ,4025
േ,1398
ാ,1665
k,8570
r,2191
i,9089
m,6522
t͡ʃ,1521
l,4478
ɭ,2425
ɳ,1691
n̪,4092
ŋ,2049
െ,269
i̯,215
s,2004
ɖ,866
ɻ,327
oː,69
uː,496
#,74
ʂ,743
*,28
eː,1222
‌,67
ɦ,570
t̪ʰ,232
o,356
ɨ,417
ʈʰ,70
&,3
f,120
ʃ,874
kʰ,122
u̯,84
pʰ,28
t͡ʃʰ,16
ൗ,2
​,2
/,12
%,1
@,1
$,2
