sa,15297
si,12518
in,15531
nu,2212
uɡ,52656
ɡd,2158
da,11546
an,47458
ɡi,20755
ib,3448
bu,8864
uh,3817
ha,20437
at,19442
di,4797
io,3714
os,4467
aŋ,74460
mɡ,27405
ɡa,53266
la,32855
ŋi,2186
it,6621
ju,4416
ut,7942
ta,22215
aw,8509
wa,6782
aa,6917
al,29262
aj,25611
ka,43501
tŋ,213
na,33657
wo,1092
oŋ,23288
es,2084
sp,294
pi,2421
iɾ,1492
ɾi,5699
tu,12537
aɡ,50698
ɡl,1915
li,9577
ih,3059
ho,8433
ok,912
ub,5130
bi,4091
iɡ,8813
mi,8254
ii,4518
iŋ,18626
ŋo,13208
on,27552
ma,27875
ah,9237
hi,7147
im,9839
mo,12600
ja,27791
ŋa,45908
jo,8616
il,9555
ai,4284
ik,6180
nl,548
ad,14152
dl,708
ni,15277
ij,22820
ab,10979
un,5164
nt,1299
ɡo,5522
pa,31639
ba,17083
no,6018
ti,5837
ŋu,1099
dt,5167
to,7997
um,3967
mu,1729
uŋ,6864
ŋh,1638
ŋb,856
ɡp,4371
uɾ,1451
ɾo,7291
oj,2334
ao,2869
aɾ,13627
ɡb,2544
ul,8403
ui,1059
ɡh,3157
du,3564
ɾu,2130
ɡk,3562
ku,2877
ak,15660
iw,468
ɡs,4191
ŋl,592
lu,3005
up,765
ŋɡ,1156
am,10531
ip,5157
su,5705
pu,3746
nj,4775
bo,2353
op,517
ɡw,187
uo,844
ot,2613
au,3405
je,1689
hu,3357
lo,8912
od,5618
ki,6217
d͡ʒe,8227
eh,7314
ov,6754
va,7361
ap,8136
is,6920
ɡt,2134
iu,1340
ol,1381
oɡ,5229
uj,1996
jp,59
nh,869
ed,643
de,415
en,883
ɡu,4189
so,2336
ko,9422
ia,5914
jx,10
et,788
id,2706
ek,237
ke,1347
el,4608
tb,132
as,11257
eu,80
uf,26
fɾ,28
ɾa,7142
te,1132
ud,4114
us,4341
ŋk,1948
pl,334
kp,76
uk,2184
oa,1659
ue,617
eɾ,3900
ŋd,427
ɡn,631
ŋt,1357
ns,1398
mb,880
mk,14
nd,1723
do,3247
ad͡ʒ,98
d͡ʒa,837
ev,437
st,355
po,993
qu,145
be,1320
oo,2706
ɾn,897
ne,1076
uu,20
ɡŋ,43
eɡ,1098
ua,683
mt,252
at͡ʃ,740
t͡ʃo,271
ot͡ʃ,143
ŋs,492
me,756
ud͡ʒ,72
ae,2683
th,1569
et͡ʃ,392
d͡ʒu,1011
lk,101
ls,74
se,2236
le,1610
ee,184
ɾe,1014
he,810
oe,126
em,1275
t͡ʃa,532
ph,874
ŋp,567
ɾk,302
ɾh,53
sw,105
bl,110
kb,106
tl,193
lt,700
dŋ,577
oh,1606
bh,135
ɡm,1324
lb,68
