sin,818
inu,2115
nuɡ,203
uɡd,179
ɡda,1596
dan,896
ɡib,1568
ibu,1973
buh,3695
uha,5858
hat,5419
dio,3288
ios,3201
mɡa,27282
laŋ,9013
aŋi,1601
ŋit,1147
jut,3035
uta,6872
ta.,524
awa,5667
waʔ,39
aʔa,56
ʔaw,1239
wal,5389
ala,29203
laj,5617
sul,3193
ulo,6819
lod,1188
od;,72
kaŋ,4655
itŋ,151
tŋi,151
dih,2839
iha,5090
iba,3440
bab,3680
aba,6589
baw,2095
naw,913
awo,5905
woŋ,650
kah,2104
ahi,5692
hil,864
ila,15876
lad,1922
adm,148
dma,137
man,4977
an;,1619
esp,489
spi,253
piɾ,259
iɾi,636
ɾit,258
itu,1755
naɡ,12299
aɡl,1840
ɡli,414
lih,119
iho,364
hok,96
tub,2881
ubi,805
biɡ,692
iɡ.,153
mii,2459
iiŋ,2906
iŋo,9180
ŋon,8897
os:,144
mah,4394
him,3090
imo,10936
aha,7120
haj,615
aja,2381
jaɡ,450
aɡ:,185
din,436
ina,4959
aɡ.,196
nak,10243
aki,3059
kit,1870
ita,4067
kin,5932
ini,8760
maa,1056
aaj,1020
ajo,3251
jo;,202
ɡil,869
lai,534
ain,577
ɡik,4260
ika,8004
kan,18498
it.,230
ɡih,1447
ihi,775
hiŋ,496
iŋa,846
ŋan,3711
anl,412
nla,470
lan,3930
adl,3014
dla,2695
law,3581
aw,,932
nij,5850
ija,22460
ɡab,2096
abi,2466
bii,209
ii:,11
hap,329
apo,304
pon,752
ono,475
non,3787
kab,1862
abu,4274
bun,296
unt,556
nta,1480
taɡ,4374
aɡo,787
ɡon,1249
on,,4586
usa,10434
aw.,424
haw,641
wan,1293
tal,1834
ali,8105
liw,1392
iwa,1474
iɡ,,307
paɡ,13744
aɡa,16269
bah,818
hin,1744
ino,1324
nii,3658
iin,4050
lal,3699
alu,2070
lum,937
nah,3187
ni.,481
kad,2631
adu,1874
duh,633
ha.,95
mat,4001
ati,2290
tiŋ,1279
iŋu,311
ŋub,193
ana,26119
naa,2153
ŋad,3129
adt,5832
dto,7669
dap,1312
api,2263
pit,2154
tum,875
umu,495
muŋ,52
uŋh,48
ŋha,746
mam,859
ama,6580
mal,2669
la:,513
ta;,279
kat,4650
til,317
ili,5758
liŋ,2339
iŋb,327
ŋba,330
ban,4418
jaŋ,9644
daɡ,1523
ɡat,2499
at:,74
jo.,381
maɡ,8085
aɡp,4170
ɡpa,3725
pat,2363
atu,4730
tuɾ,38
uɾo,420
ɾok,45
bal,6136
lil,234
li,,196
lam,1541
amn,41
mno,161
ɡah,1849
ata,12319
bin,819
inh,468
nhi,748
hi;,81
imu,260
uŋa,893
aho,1415
hoj,436
buŋ,552
taŋ,2526
dii,419
ani,12438
ta:,150
hi,,292
aŋ;,119
ŋa,,153
mao,4378
aoj,864
ni,,795
aŋ,,351
ato,3704
tol,713
olo,1033
lo.,252
aɾo,4859
ɾon,5154
aɡb,2333
ɡbu,1076
bul,1490
ula,3843
laɡ,4172
ii;,26
moa,899
sil,5818
ilh,185
lha,112
han,8287
nan,9005
an,,5479
pan,6836
hon,1432
tui,853
uiɡ,1004
iɡa,1571
ɡan,1722
aɡh,2897
ɡha,1758
duɾ,589
uɾu,515
ɾuh,510
aɡk,3333
ɡku,467
kuŋ,447
lab,1716
biŋ,357
dak,799
aku,1697
haɾ,3651
aɾi,4043
dij,166
iju,314
taj,2583
sab,1932
bit,261
ito,913
too,284
oon,1523
on.,1437
but,3618
it,,528
ɡai,1566
aiw,7
waɡ,508
ta,,991
ii,,68
it:,80
kau,1843
aup,90
upa,789
at.,244
dum,751
uma,2587
aɡs,3130
ɡsa,1983
saŋ,1030
duo,465
uot,344
nuh,110
uhi,879
maŋ,1835
aŋl,320
ŋlu,53
lup,163
pad,1550
aŋɡ,585
ŋɡa,394
ɡam,576
nap,1681
ap,,66
tan,7902
naŋ,3688
ɡal,2732
mit,1079
tuŋ,3516
sat,702
pak,1830
akʔ,60
kʔa,21
ʔan,1715
aŋ:,82
ɡip,2987
ipa,3701
nal,1136
ŋin,485
os,,865
aiŋ,2120
on:,2774
sum,996
naj,1205
kam,6390
amo,5712
mo,,1273
pun,464
unʔ,175
nʔo,725
ʔon,1485
nin,2145
inj,3422
njo,3421
at,,496
ada,3170
ano,4068
kal,4726
lim,1036
ima,1433
ma.,85
ubo,1017
jop,64
opa,296
aka,7313
kaɡ,808
ŋat,604
ɡak,873
ton,1370
nat,1703
taw,5732
toŋ,1898
aɡw,157
ɡwa,186
waj,1008
aj,,1138
kas,3817
asa,4030
sam,1570
to;,185
buo,180
isd,82
sda,123
tib,1172
ibo,1741
boo,1156
ook,1120
auɡ,1568
uɡa,2048
ŋoŋ,265
la,,1355
lak,5019
ake,4383
baj,2196
aje,1651
la.,815
nil,4036
ɡaɡ,432
ahu,2045
hum,710
ɡba,1237
bat,3176
lot,462
otʔ,28
tʔa,210
anʔ,1500
nʔa,858
wa,,383
maj,2018
moŋ,6977
on;,852
dun,519
una,1896
nab,1039
lun,365
unh,62
nha,523
kaa,1158
aun,236
uno,2356
nom,259
om.,88
kap,2288
tap,924
apu,2933
pus,940
mo;,299
mip,322
pah,1826
hul,686
sij,6471
mo.,582
to,,636
laa,1232
aan,2570
ni;,250
uŋo,3496
ŋod,2834
kaj,4063
os.,400
d͡ʒeh,6840
eho,6772
hov,6747
ova,6748
ɡhi,896
paj,1042
anu,1305
num,856
apa,7126
mis,755
isu,1605
suɡ,1968
uɡo,2432
ɡod,144
aɡt,2005
ɡtu,647
ok,,232
pau,271
aul,1092
