
,3251
ɔ,23599
d͡ʒ,2435
୍,9268
a,9147
t,4519
d,1661
w,394
r,7627
b̤,854
g,1132
b,3988
i,7696
p,2607
େ,1058
ା,1058
e,6320
k,4776
ʈ,735
u,4203
n,4433
ɳ,1234
h,2527
l,791
m,3567
s,4704
ɭ,514
j,1904
kʰ,640
ɖ,429
ŋ,1469
|,567
r̩,445
d̤,739
t͡ʃ,589
ʈʰ,294
ɲ,216
ũ,362
​,122
t͡ʃʰ,478
tʰ,669
ĩ,439
̤,109
।,142
pʰ,173
o,36
଼,152
ẽ,53
ɔ̃,46
#,64
ã,20
&,1
*,19
/,12
%,1
$,2
