pa,34074
ad,23416
da,66350
mu,19802
ul,7033
la,49234
aɲ,6980
ɲa,22613
a,,10423
wa,9483
ak,49322
kt,1499
tu,39265
al,29880
ll,3599
ah,47345
ai,14032
mə,53190
əɲ,6170
ɲt͡ɕ,2321
t͡ɕi,1402
ip,2399
pt,176
ta,41701
ka,76513
an,110192
am,27135
sə,30502
əm,28919
əs,7301
st,1933
bu,11680
um,8799
mi,7427
bə,26775
əl,22435
lu,10148
ər,59086
rb,4109
ən,21927
nt,13204
uk,15823
k,,929
ma,29401
as,13675
si,9840
ih,5644
at͡ɕ,719
t͡ɕa,3747
au,11859
u-,576
-b,1603
ba,30802
u.,2750
sa,25882
ud,8675
dr,101
ra,41109
ja,27129
aŋ,53081
rɡ,2709
ɡə,3459
lo,1836
or,14533
nu,4776
ut,6893
up,4353
pi,7133
əɡ,4538
ɡa,12751
su,13493
ua,15061
at,37760
u,,5806
di,32481
il,8686
li,11133
pu,7669
ti,20417
ol,3410
lə,7887
əh,5160
ap,15747
ɡu,3832
it,21642
tə,17107
ət,10285
ku,24399
pə,22210
rm,1172
aa,3140
ir,7766
rk,7079
"d͡ʑ,204
d͡ʑa,18698
ŋ!,68
!",254
na,22627
ha,28714
is,8557
hk,3286
n-,2949
-ɲ,2519
ar,33297
ri,22050
in,14892
"s,631
ia,20695
ŋ",4
"m,359
m",4
".,22
əw,1388
t,,1392
aɡ,6949
ɡi,8328
i.,1923
rt,5974
kə,28556
əb,8208
ub,2574
un,14381
mb,14582
nd͡ʑ,5870
du,6755
nɲ,2950
mp,9621
rp,815
h.,838
.",468
rd͡ʑ,2029
də,10058
ik,12016
ki,7795
nl,1920
aw,4572
sɲ,301
"l,71
ŋi,3192
t",5
əd,3217
"h,287
hə,1561
nd,8135
kl,475
əŋ,21010
ŋa,15747
hi,4432
iŋ,7442
ŋɡ,6448
n.,2470
"d,321
",,15
i,,3580
ŋə,1519
uh,15555
h-,1933
-t,1025
n,,5404
d͡ʑə,798
ni,6991
ŋh,1588
lk,1313
bi,7715
id͡ʑ,679
d͡ʑi,2666
i-,2097
iɡ,828
a-,5812
nə,3952
m,,1200
d͡ʑu,4899
kk,987
iɲ,2179
hu,5866
aj,6875
a.,4904
r,,1434
ŋu,2148
ŋ,,1171
m;,63
ib,4595
t-,2074
uɡ,2318
ŋ-,3471
tk,1077
p.,110
əə,603
ax,810
xl,100
id,7010
p,,231
ur,11734
ru,13082
uŋ,5472
ŋ.,600
ks,892
əp,13583
im,6761
ət͡ɕ,612
l.,599
ək,14740
us,11708
ɲə,2350
rə,14009
-i,422
it͡ɕ,988
-l,1276
ut͡ɕ,910
"b,529
kt͡ɕ,2
t͡ɕu,1479
nm,815
sk,1547
rd,1794
ud͡ʑ,2165
xu,226
s,,992
iw,173
m-,588
nk,1526
h,,1964
kɲ,1172
əo,1874
ŋɲ,764
a;,745
pl,162
tɲ,856
k-,1504
po,1175
oh,1602
ho,1326
on,2632
k.,369
hl,441
u;,403
ab,8138
rn,1252
so,875
n;,429
wi,1208
-w,89
ro,1811
rɲ,852
ɡr,123
aɕ,580
ɕu,293
r.,752
əf,469
fr,261
"ə,101
ŋk,6644
bo,1908
t.,676
hɲ,1348
"t,494
t͡ɕo,211
ot͡ɕ,32
ok,1177
uɲ,1740
-m,2387
"i,196
--,192
bɲ,172
rs,3622
tr,1164
"a,781
r-,348
i?,268
"k,537
,",329
b,,939
r;,107
ui,925
hw,1672
if,147
f.,33
ɲi,909
-p,1979
u?,409
ŋ?,49
?",303
"p,361
ad͡ʑ,6367
i:,244
tm,155
əu,148
pm,77
-k,3491
rl,1724
t͡ɕə,1130
ɲu,713
lɲ,217
b-,30
to,1083
oŋ,1277
do,2929
om,2105
ko,3567
no,736
h?,61
os,1822
l,,1376
km,617
a?,408
-o,1928
rt͡ɕ,577
-a,1093
hm,848
n",22
ox,55
x.,13
ot,3576
d.,164
uj,78
aə,3297
əx,261
zi,704
ŋs,2558
ju,948
l-,277
n!,273
s.,425
za,1162
af,517
ft,150
m.,503
(p,19
a",23
13,21
30,59
80,25
00,610
93,2
10,81
05,6
07,3
91,2
12,62
90,10
81,3
15,24
70,29
