
b,128
be,580
en̪,407
n̪a,584
am,748
mi,441
d̪b,157
ba,831
ar,2217
ra,1102
b̤ɔ,112
ɔɡ,103
ɡɔ,409
ɔb,620
bɔ,1833
ɔd̪,308
d̪ɔ,265
ɡi,75
it̪,732
t̪a,977
pr,697
rɔ,1793
ɔk,544
kɔ,1696
ɔl̪,491
l̪p,48
pɔ,625
ɡu,227
ut,117
te,132
n̪b,93
rɡ,130
ib,253
bu,87
uk,175
k
,25


,226

e,377
ei,392
kt,185
ti,457
d͡ze,464
ek,606
kে,12
ো,1149
াn̪,156
n̪o,33
d͡ʑa,227
ae̯,387
e̯ɡ,18
ɡa,86
bi,655
in̪,627
kʰɔ,196
ɔr,2046
ɔt͡ɕ,69
t͡ɕe,91
eb,851
ɔŋ,937
s̪a,314
at̪ʰ,103
t̪ʰe,299
ka,710
rে,41
bd͡z,104
d͡zɔ,889
ɔh,357
ha,185
re,801
er,1299
d͡ʑɔ,450
ɔn̪,1392
n̪d͡z,271
ɔ
,613

p,190
ɔে,936
n̪ɔ,1016
id̪̤,20
d̪̤i,94
n̪i,745
iʂ,175
ʂe,59
ed̪̤,4
n̪e,511
i।,56
ap,291
pn̪,165
et,166
on̪,255
n̪u,197
ul̪,149
l̪i,224
ip,91
pi,72
d̪u,108
ur,326
d̪i,298
t̪e,392
pa,342
a
,376
াd͡ʑ,58
d͡ʑe,210
tɔ,189
l̪a,190
ai,259
is̪,171
s̪e,411
n̪s̪,27
ɕɔ,270
rt̪,116
ab,441
bl̪,44
ir,464
od̪̤,73
pu,219
un̪,305
n̪r,16
ru,276
n̪t̪,365
t̪ɔ,946
rb̤,29
b̤u,111
kt̪,229
s̪ɔ,1026
hɔ,405
n̪l̪,6
e
,675

ɕ,67
ɕi,158
d̪ɡ,3

l̪,18
l̪e,271
ekʰ,318
i
,246

o,221
ub,63
ad̪,289
s̪d͡z,50
d͡za,776
ed,27
du,16
ui,30
rn̪,8
l̪d,5
dɔ,48
াs̪,17
s̪t,49
iŋ,45
ri,493
ikʰ,74
d͡ʑu,71
#
,20
aɕ,93
ɕe,123
ɔb̤,118
b̤e,33
em,189
mb,17
ɔt̪ʰ,130
t̪ʰɔ,133
ɔm,573
mɔ,994
an̪,991
ue̯,5
e̯a,150

b̤,43
b̤a,366
aʂ,26
ʂa,43
ŋr,17
ed͡ʑ,20
d͡ʑi,183
ok,10
kʂ,171
ʂɔ,112
াd,10
di,21

*,4
**,20
pe,67
ɕu,89
*
,4
ɔd͡z,49
et͡ɕʰ,200
t͡ɕʰe,433
es̪,53
s̪i,99
rs̪,5
ɔ।,122
al̪,333
it͡ɕ,116
t͡ɕt,2
ie,61
me,174
el̪,88
ŋs̪,80
s̪k,42
ɔn,281
nɔ,352
।
,293

d̪,68
d̪d͡z,42

ɡ,40
ie̯,369
l̪।,5

m,77
ab̤,54
ɔt̪,853
ke,735
or,97
rd͡ʑ,94
ɔd̪̤,131
d̪̤d͡z,186
t̪ɽ,30
ɽi,516
t͡ɕt͡ɕʰ,117
d͡zu,145
br,86
ad͡ʑ,368
t̪t̪,71

k,254
kɽ,129
ʂn,61
ne,41
up,208

s̪,225
atʰ,21
ud̪,153
t̪
,89
ia,3
ii,27

n̪,102
iu,16
e̯ɔ,478
rk,66

t,8
tr,71
us̪,41
s̪l̪,6
l̪ɔ,360
াb̤,14
hd͡z,49
ɔs̪,366
o্,21
্d͡z,22
n̪d,43
im,113
it,72
d
,3
nt͡ɕ,21
t͡ɕɔ,200
eb̤,14
b̤i,82
u
,40

u,26
ut̪,142

t̪,311
ki,394
at̪,348
t̪m,200
ma,1112
াm,186
an,54
ɔt,141
ɔɽ,74
ɽe,67
t͡ɕʰi,119
d͡ʑk,39
ku,76
um,172
d̪̤ɔ,306
kʰe,93
t̪d͡z,229
ɔt͡ɕʰ,48
n̪
,221
kʰa,252
ɔd͡ʑ,175
d͡ʑn,126
na,157
l̪u,29
n̪ে,44

i,53
ŋl̪,5
l̪d͡z,19
de,44
he,89
d̪e,616
at͡ɕʰ,235
ta,158
e̯
,120
mu,108
ukʰ,39
n̪d̪̤,112
kʰd͡z,31
ɕt͡ɕ,25
rd͡z,49
at,41
rb,127
hi,152
n̪d̪,197
ak,414
ɔʂ,30
ʂtʰ,25
tʰɔ,28
ʂm,18
ɔp,113
̤ɡ̤,54
ɡ̤ɔ,50
e।,114
e̯t̪,15
t̪b,42
াɡ,93
bn̪,44
aɡ,160
ah,100
pɔ̃,6
ɔ̃t͡ɕ,13
t̪n̪,2
nd͡z,11
he̯,205
t̪u,253
d̪a,161
rɕ,33
ik,297
s̪t̪ʰ,104
t̪ʰa,215
n̪m,68
াt͡ɕ,28
d͡ʑo,1
id̪,145
hm,54
iɕ,293
ɕb,180
as̪,398
il̪,140
nd͡ʑ,17
ed̪,69
ɕr,87
াʂ,23
et̪,59
t̪i,553
ut͡ɕ,79
t͡ɕt͡ɕ,58
t͡ɕa,104
aŋ,65
ŋk,50
d̪d̪̤,155
d̪̤a,126
rm,115
ɕl̪,10
eɡ,68
ɡe,99
d͡ze̯,3
ib̤,133
od͡ʑ,35
kʰk,1
ɔɕ,138
s̪ɸ,10
ɸɔ,52
াr,41
md͡z,19
n̪t,42
oɸ,13
ɸi,50
eɸ,6
ɸa,42
r।,13
b̤d͡z,11
t̪r,226
pে,3
াɸ,1
ɸe,37
t̪k,5
d̪̤b,15
it͡ɕʰ,82
t͡ɕʰu,81
oj,84
jt̪,3
t̪t,3
rʂ,5
ni,37
l̪t̪,10
ee̯,90
e̯ɕ,2
ৌ,44
ৗkʰ,2
kʰi,37
nd,16
e̯e,379
kʰr,3
t̪s̪,3
t̪ɔ̃,22
ɔ̃r,25
t̪d̪,9
eo,62
oe̯,115
ɕn̪,8
t̪t̪ʰ,12
at͡ɕ,37
ʂp,4
a।,50
ob,94
ɕd͡z,50
d͡zi,63
t͡ɕi,125
me̯,57
iɦ,4
uɡ,30
ad͡z,33
d͡zd͡z,27
n̪।,77
bd̪,24
mb̤,7
bt̪,30
re̯,46
d̪ɽ,47
