
,3342
d̪,3391
i,4492
p,3573
r,6523
a,7475
d͡ʒ,826
e,1389
k,4714
ʈ,2065
ɡ,1824
ʊ,4015
n,8405
‌,223
b,816
ə,18100
pʰ,193
b̤,474
ʋ,3728
iː,1647
t̪,4226
ె,771
ౖ,771
ʌ,1307
m,7547
ɪ,6079
ɖ,2644
kʰ,114
t͡ʃ,2422
u,5571
l,3995
eː,2648
j,3106
oː,1863
ɲ,976
ʃ,609
s,2840
h,507
d̪̤,628
ɭ,209
ʂ,610
ŋ,520
uː,776
#,75
o,767
*,28
ɳ,367
t̪ʰ,178
&,3
t͡ʃʰ,34
ʈʰ,26
ɖ̤,18
ɡ̤,22
​,4
/,12
%,1
@,1
$,2
