k,129100
ǁʰ,1216
ɔ,144209
s,58483
a,354054
ɛ,230682
u,153838
ǃ,7822
l,105176
n,188947
i,214382
tʰ,32545
ǁ,9104
w,77932
d̤,33623
m,84595
z̤,56079
ɬ,9056
ɓ,89547
.,21162
ɲ,12638
,,57188
;,13266
pʰ,14420
j,65757
f,9001
kʰ,21667
ɡ̤,49250
:,1388
m̤,1860
b̤,7697
t͡s,2432
d͡ʒ̤,4940
-,2333
t,17155
ɮ,8327
v̤,13392
ǃʰ,1015
ʃ,6370
ŋ,6556
ǀ,6271
̤,5293
tʲ,2580
ŋ̤,3332
h,12548
tʰʲ,350
t͡ʃ,3554
p,3272
r,11245
?,2105
ǀʰ,530
k͡x,1188
x,1186
!,473
ŋ̰,314
̰,314
(,190
),189
,77
dʲ,158
t͡ʃʰ,1
t͡sʰ,47
,39
ɣ̤,8
ɲ̤,19
n̤,6
j̤,1
