
,3338
p,2592
r,5884
o,1861
d͡ʑ,1757
e,6228
k,4233
ʈ,889
ə,11243
ɡ,1366
u,1847
n,5124
b,623
iː,3638
ऑ,22
pʰ,195
d,1641
b̤,467
v,3507
t,6328
aː,14508
a,863
m,3295
i,3276
ɦ,2855
s,3127
ɕ,1456
l,2367
ɳ,2684
ʈʰ,462
t͡ɕ,2172
j,4142
ɭ,445
d̤,794
ॉ,96
uː,1276
ʂ,409
kʰ,352
ɖ,604
ŋ,241
#,68
tʰ,353
*,17
r̩,385
ॅ,25
१,3
९,1
०,2
ɖ̤,136
ɡ̤,197
ɲ,111
æː,144
ɔː,48
d͡ʑ̤,486
‍,28
h,103
ã,3
t͡ɕʰ,82
र,41
़,41
्,41
।,4
४,1
२,1
३,1
॥,1
​,6
&,1
/,10
ə̃,1
@,1
$,1
