
,3338
b,1233
e,7208
n,7765
aː,9347
m,3575
iː,3274
d,1854
v,2309
r,7060
b̤,875
ə,10790
ɡ,1385
t,4364
k,6525
p,2703
o,2761
d͡ʒ,1985
ʈ,674
u,2524
j,2500
ɦ,4286
s,4146
i,4134
l,1835
æː,2042
d̤,692
।,591
ɔ,67
ʃ,992
tʰ,440
ऑ,16
ʂ,480
kʰ,556
a,971
ɖ,208
ŋ,262
uː,742
#,51
*,17
ɳ,381
t͡ʃ,799
ɔː,1067
r̩,308
ʈʰ,112
pʰ,323
ɲ,170
ɽ̥,90
ãː,154
t͡ʃʰ,253
ɡ̤,76
ɽ,188
ũː,78
d͡ʒ̤,253
​,16
f,13
ɖ̤,27
़,1
h,7
ẽ,11
z,11
ũ,15
ã,10
ə̃,3
x,2
—,1
/,11
@,1
$,1
