Language1,Language2,Dot_Product
Amharic,Amharic,0.9999985029661135
Amharic,Arabic,0.003514193920276364
Amharic,Croatian,0.04863013754973158
Amharic,Czech,0.029908451043176666
Amharic,Dutch,3.445154118568305e-05
Amharic,Farsi,2.1210596041706012e-06
Amharic,German,0.015484057874185683
Amharic,Hausa,0.07567444833820172
Amharic,Hindi,0.03847694710465063
Amharic,Hungarian,0.007629245812273645
Amharic,Indonesian,0.15039091375561928
Amharic,Kazakh,0.02237349673446872
Amharic,Malyalam,0.02537272579642438
Amharic,Maori,0.04881198603852524
Amharic,Marathi,0.030076118657174595
Amharic,Polish,0.045121413772818496
Amharic,Porteguese,0.004070479907206049
Amharic,Russian,0.027196801232479098
Amharic,Spanish,0.03020588482897433
Amharic,Swedish,0.0
Amharic,Telugu,0.0
Amharic,Thai,0.0
Amharic,Urdu,3.5930682746591228e-06
Amharic,Vietnamese,0.003640903031948832
Amharic,Xhosa,0.025073517519119726
Amharic,Zulu,0.047140449541660204
Arabic,Arabic,1.0000000000000104
Arabic,Croatian,0.01128433295811895
Arabic,Czech,0.005767490854768876
Arabic,Dutch,0.17418847185744019
Arabic,Farsi,0.004482160792422004
Arabic,German,0.10044739496356442
Arabic,Hausa,0.018959764554987206
Arabic,Hindi,0.2979291343128766
Arabic,Hungarian,0.0002860109412608332
Arabic,Indonesian,0.018593665875972363
Arabic,Kazakh,0.00010632452801025029
Arabic,Malyalam,0.10639993065257969
Arabic,Maori,0.006886411014214429
Arabic,Marathi,0.3542044802584436
Arabic,Polish,0.009129511260764944
Arabic,Porteguese,0.00027656268656012326
Arabic,Russian,0.004579924260410124
Arabic,Spanish,0.010761813634640138
Arabic,Swedish,0.10797111389714002
Arabic,Telugu,0.0
Arabic,Thai,0.0
Arabic,Urdu,0.11211412168095373
Arabic,Vietnamese,0.0
Arabic,Xhosa,0.010346433659682618
Arabic,Zulu,0.011034676474112838
Croatian,Croatian,1.0000000000000062
Croatian,Czech,0.28109139006014805
Croatian,Dutch,0.009746357219698788
Croatian,Farsi,0.003280461214880684
Croatian,German,0.009491261908862122
Croatian,Hausa,0.14931805401313367
Croatian,Hindi,0.07794120497841056
Croatian,Hungarian,0.032441835622266074
Croatian,Indonesian,0.14605138394285308
Croatian,Kazakh,0.03634006100602389
Croatian,Malyalam,0.08310459918275172
Croatian,Maori,0.16526165266824325
Croatian,Marathi,0.020541740177604635
Croatian,Polish,0.11640547079953859
Croatian,Porteguese,0.0383195013307634
Croatian,Russian,0.21331820689785821
Croatian,Spanish,0.19262478553873721
Croatian,Swedish,0.0033341562598618907
Croatian,Telugu,0.000786869738192659
Croatian,Thai,0.0055823870556571025
Croatian,Urdu,0.00043644346527160836
Croatian,Vietnamese,0.008071325732917243
Croatian,Xhosa,0.06849445920707345
Croatian,Zulu,0.16277746418524225
Czech,Czech,1.0000000000000295
Czech,Dutch,0.009166476385573582
Czech,Farsi,0.0030216804492683887
Czech,German,0.010792163170396754
Czech,Hausa,0.05190877860647756
Czech,Hindi,0.03409197718656958
Czech,Hungarian,0.017360023522228377
Czech,Indonesian,0.05391928489794033
Czech,Kazakh,0.05339503056654891
Czech,Malyalam,0.02280100215637964
Czech,Maori,0.08342893637992965
Czech,Marathi,0.011105390107898943
Czech,Polish,0.0827476760048923
Czech,Porteguese,0.014839974180142487
Czech,Russian,0.1885921548615844
Czech,Spanish,0.14077327155134856
Czech,Swedish,0.0069427356260622405
Czech,Telugu,0.0
Czech,Thai,0.00033950703047171365
Czech,Urdu,0.0005092078685178226
Czech,Vietnamese,0.0017601839843267172
Czech,Xhosa,0.016527781827639823
Czech,Zulu,0.0633779859141568
Dutch,Dutch,0.9999999999999848
Dutch,Farsi,0.0015004881418945026
Dutch,German,0.18278551104115365
Dutch,Hausa,0.0007325494151402663
Dutch,Hindi,0.16028907823346233
Dutch,Hungarian,0.0832700928197236
Dutch,Indonesian,0.0013923888144980094
Dutch,Kazakh,0.016813710581023298
Dutch,Malyalam,0.06321152683272435
Dutch,Maori,8.29186875443682e-06
Dutch,Marathi,0.16742992589311737
Dutch,Polish,0.02495976948007671
Dutch,Porteguese,0.041457536947236945
Dutch,Russian,0.0032569502275761114
Dutch,Spanish,0.006221799912745576
Dutch,Swedish,0.48002793519658615
Dutch,Telugu,8.884330107664406e-05
Dutch,Thai,2.023954097583831e-05
Dutch,Urdu,0.039062303409649085
Dutch,Vietnamese,0.00258702047489766
Dutch,Xhosa,0.012945651916510136
Dutch,Zulu,0.0018429125833922875
Farsi,Farsi,0.9999999999999954
Farsi,German,0.0008225612548526556
Farsi,Hausa,0.00013479974504923203
Farsi,Hindi,0.0005374245379840402
Farsi,Hungarian,0.05332352550439639
Farsi,Indonesian,6.339809028712956e-05
Farsi,Kazakh,0.0015314185793152552
Farsi,Malyalam,3.158784773924069e-06
Farsi,Maori,1.775009827697144e-05
Farsi,Marathi,0.0001822005586082741
Farsi,Polish,0.002075084405162069
Farsi,Porteguese,0.00046503218388970375
Farsi,Russian,0.001493459651591805
Farsi,Spanish,0.0005120665198337888
Farsi,Swedish,0.0016413654808549287
Farsi,Telugu,4.023039984238903e-05
Farsi,Thai,0.0
Farsi,Urdu,0.0019658193617707064
Farsi,Vietnamese,2.1108224800876468e-07
Farsi,Xhosa,3.815652469386138e-05
Farsi,Zulu,4.0118469838445166e-05
German,German,0.9999999999999888
German,Hausa,0.027608618565618477
German,Hindi,0.04396885148597633
German,Hungarian,0.006600441541710005
German,Indonesian,0.030202473185442565
German,Kazakh,0.03150432183848756
