Language1,Language2,Dot_Product
Hindi,Polish,0.08615385757640459
Hindi,Porteguese,0.05446223931854289
Hindi,Russian,0.1103695426847397
Hindi,Spanish,0.17862832860924577
Hindi,Swedish,0.20515549916845432
Hindi,Telugu,0.0
Hindi,Thai,0.0
Hindi,Urdu,0.10563862163527989
Hindi,Vietnamese,0.02394578092555639
Hindi,Xhosa,0.11810094852563416
Hindi,Zulu,0.18925085211739806
Hungarian,Hungarian,0.999999725885626
Hungarian,Indonesian,0.0716495841816893
Hungarian,Kazakh,0.03461028650930304
Hungarian,Malyalam,0.032691852013318624
Hungarian,Maori,0.12146185372614543
Hungarian,Marathi,0.02939323709089076
Hungarian,Polish,0.253927096375376
Hungarian,Porteguese,0.36703647515294857
Hungarian,Russian,0.0951172896586317
Hungarian,Spanish,0.11779473289348807
Hungarian,Swedish,0.05556750857903109
Hungarian,Telugu,0.0
Hungarian,Thai,5.016640347749264e-06
Hungarian,Urdu,0.007589951310598244
Hungarian,Vietnamese,0.01475582411195052
Hungarian,Xhosa,0.24708164038436992
Hungarian,Zulu,0.09936445283860373
Indonesian,Indonesian,0.999999589645653
Indonesian,Kazakh,0.09807147392532874
Indonesian,Malyalam,0.3627321832675361
Indonesian,Maori,0.5193968616013366
Indonesian,Marathi,0.17821122237399833
Indonesian,Polish,0.28287960957783964
Indonesian,Porteguese,0.07245269579033324
Indonesian,Russian,0.20888847252815862
Indonesian,Spanish,0.33275973655202634
Indonesian,Swedish,0.021615602080726357
Indonesian,Telugu,1.4908141530684338e-05
Indonesian,Thai,0.0001449008948681645
Indonesian,Urdu,0.006000524022792393
Indonesian,Vietnamese,0.05690126640538595
Indonesian,Xhosa,0.3489641543459465
Indonesian,Zulu,0.4049074154550888
Kazakh,Kazakh,0.9999995293816817
Kazakh,Malyalam,0.028179147659646926
Kazakh,Maori,0.05920001779765723
Kazakh,Marathi,0.05465130774359286
Kazakh,Polish,0.023733717875235195
Kazakh,Porteguese,0.026427158589529817
Kazakh,Russian,0.07487390499790776
Kazakh,Spanish,0.1738818354413619
Kazakh,Swedish,0.09875841803473157
Kazakh,Telugu,0.0
Kazakh,Thai,0.0
Kazakh,Urdu,0.03101013701257434
Kazakh,Vietnamese,0.0015632333449413565
Kazakh,Xhosa,0.02321639425840236
Kazakh,Zulu,0.10473066308588248
Malyalam,Malyalam,0.99999989981925
Malyalam,Maori,0.30029387294725096
Malyalam,Marathi,0.4083631114978212
Malyalam,Polish,0.19806465405950835
Malyalam,Porteguese,0.043787725526282864
Malyalam,Russian,0.15112061356740136
Malyalam,Spanish,0.23500861301080503
Malyalam,Swedish,0.12399339051397672
Malyalam,Telugu,2.1167758640303815e-05
Malyalam,Thai,9.246278849337367e-07
Malyalam,Urdu,0.1548106243544209
Malyalam,Vietnamese,0.030158945268789115
Malyalam,Xhosa,0.2713197984396624
Malyalam,Zulu,0.3312273698187958
Maori,Maori,0.9999999945294392
Maori,Marathi,0.09032496253657042
Maori,Polish,0.2088815367405569
Maori,Porteguese,0.1046610345562367
Maori,Russian,0.2381417949417461
Maori,Spanish,0.278202538229751
Maori,Swedish,0.031227767822746787
Maori,Telugu,0.0
Maori,Thai,0.0
Maori,Urdu,0.00891324532919768
Maori,Vietnamese,0.04615293151155066
Maori,Xhosa,0.2234508573888557
Maori,Zulu,0.3234634891485732
Marathi,Marathi,0.999999626959779
Marathi,Polish,0.08620071681479587
Marathi,Porteguese,0.029548516643370448
Marathi,Russian,0.07005971485237203
Marathi,Spanish,0.10429955304501269
Marathi,Swedish,0.15837634817842827
Marathi,Telugu,2.4397365528128575e-05
Marathi,Thai,3.5506622929036236e-05
Marathi,Urdu,0.06261024239268449
Marathi,Vietnamese,0.01326889216758201
Marathi,Xhosa,0.09020186896953365
Marathi,Zulu,0.12023313600243495
Polish,Polish,0.9999997953416363
Polish,Porteguese,0.12069578353389696
Polish,Russian,0.2120436162093418
Polish,Spanish,0.16841715758462297
Polish,Swedish,0.04726992277135631
Polish,Telugu,0.0
Polish,Thai,0.0
Polish,Urdu,0.005021544339617849
Polish,Vietnamese,0.06249904491968691
Polish,Xhosa,0.3218576819292675
Polish,Zulu,0.22407205142084013
Porteguese,Porteguese,0.9999998587047547
Porteguese,Russian,0.11542474730981718
Porteguese,Spanish,0.23118406379168416
Porteguese,Swedish,0.05884663197682776
Porteguese,Telugu,8.02841339469401e-05
Porteguese,Thai,3.501941292387466e-06
Porteguese,Urdu,0.00704786942246636
Porteguese,Vietnamese,0.0182910894522118
Porteguese,Xhosa,0.16139669595093295
Porteguese,Zulu,0.11415244092438849
Russian,Russian,0.99999965285259
Russian,Spanish,0.3005310976653577
Russian,Swedish,0.01960354493527862
Russian,Telugu,1.736726311069391e-05
Russian,Thai,0.007742283093312099
Russian,Urdu,0.013187392539887254
Russian,Vietnamese,0.020528797536816114
Russian,Xhosa,0.134067616322725
Russian,Zulu,0.24015555169679015
Spanish,Spanish,0.9999998027510664
Spanish,Swedish,0.10396057161264927
Spanish,Telugu,0.0002474875840008896
Spanish,Thai,0.0002836990291580786
Spanish,Urdu,0.016537871043706593
Spanish,Vietnamese,0.03398241132425285
Spanish,Xhosa,0.19508103474652772
Spanish,Zulu,0.3901270920418208
Swedish,Swedish,0.9999997525670179
Swedish,Telugu,1.9383471506971925e-05
Swedish,Thai,5.068383462170065e-06
Swedish,Urdu,0.7787264048777635
Swedish,Vietnamese,0.0038147529699058768
Swedish,Xhosa,0.03190579310698587
Swedish,Zulu,0.037034314505594926
Telugu,Telugu,1.0
Telugu,Thai,0.0
Telugu,Urdu,0.0
Telugu,Vietnamese,7.60384201549144e-06
Telugu,Xhosa,5.582859874699392e-07
Telugu,Zulu,0.0
Thai,Thai,1.0
Thai,Urdu,1.0324563071122681e-06
Thai,Vietnamese,6.338352857538047e-05
Thai,Xhosa,0.0
Thai,Zulu,0.0001385409245360079
Urdu,Urdu,0.9999998283620556
Urdu,Vietnamese,0.000566731657590241
Urdu,Xhosa,0.005397899842580072
Urdu,Zulu,0.01488673338636902
Vietnamese,Vietnamese,0.9999999588014025
Vietnamese,Xhosa,0.08667607373719673
Vietnamese,Zulu,0.10148023542866133
Xhosa,Xhosa,0.9999999132056545
Xhosa,Zulu,0.6119287108530709
Zulu,Zulu,0.9999998036286246
