Language1,Language2,Dot_Product
Amharic,Amharic,0.9999999998824842
Amharic,Arabic,0.3842047877162671
Amharic,Croatian,0.4640170571903053
Amharic,Czech,0.47067625754549275
Amharic,Dutch,0.3422284847835725
Amharic,Farsi,0.3553971393426965
Amharic,German,0.548080902218154
Amharic,Hausa,0.47939704057485716
Amharic,Hindi,0.5775908454615922
Amharic,Hungarian,0.3559263036503944
Amharic,Indonesian,0.6515710380861811
Amharic,Kazakh,0.5013407126949314
Amharic,Malyalam,0.42625349232513277
Amharic,Maori,0.439373130118096
Amharic,Marathi,0.5325421691772088
Amharic,Polish,0.5220662837764072
Amharic,Porteguese,0.26531502341351887
Amharic,Russian,0.45893417930680597
Amharic,Spanish,0.44596745239899693
Amharic,Swedish,0.28335090943068836
Amharic,Telugu,0.0001810824364693426
Amharic,Thai,4.969574473131407e-06
Amharic,Urdu,0.19916903626954327
Amharic,Vietnamese,0.34644689045942834
Amharic,Xhosa,0.4184178195649405
Amharic,Zulu,0.4572656202422896
Arabic,Arabic,1.0
Arabic,Croatian,0.5135729374952372
Arabic,Czech,0.44284480871925225
Arabic,Dutch,0.6712111714009317
Arabic,Farsi,0.2893625354575574
Arabic,German,0.7336107106840732
Arabic,Hausa,0.6110804995327941
Arabic,Hindi,0.7767515604832991
Arabic,Hungarian,0.38698796195888685
Arabic,Indonesian,0.6347802993971794
Arabic,Kazakh,0.2848468340204074
Arabic,Malyalam,0.6987744817165863
Arabic,Maori,0.5464142237326229
Arabic,Marathi,0.8540999116692982
Arabic,Polish,0.46663513463055095
Arabic,Porteguese,0.22019622023434215
Arabic,Russian,0.4622574609299198
Arabic,Spanish,0.47124965801666396
Arabic,Swedish,0.7526774635214426
Arabic,Telugu,0.05652658229428371
Arabic,Thai,0.0
Arabic,Urdu,0.708428662485805
Arabic,Vietnamese,0.4116340757491024
Arabic,Xhosa,0.5382103709668983
Arabic,Zulu,0.56323254438065
Croatian,Croatian,1.0
Croatian,Czech,0.809145234454211
Croatian,Dutch,0.508657131661228
Croatian,Farsi,0.38528215008089883
Croatian,German,0.5291875175982701
Croatian,Hausa,0.7536704783446702
Croatian,Hindi,0.7052632611469138
Croatian,Hungarian,0.448063065706142
Croatian,Indonesian,0.7233896240820628
Croatian,Kazakh,0.43199909349153587
Croatian,Malyalam,0.7037217555917761
Croatian,Maori,0.8475284518774894
Croatian,Marathi,0.6305861301193174
Croatian,Polish,0.6302409588025116
Croatian,Porteguese,0.4586622862244669
Croatian,Russian,0.8652005981463265
Croatian,Spanish,0.8807304811981823
Croatian,Swedish,0.4177462606962193
Croatian,Telugu,0.04767140881657778
Croatian,Thai,0.012875174461175705
Croatian,Urdu,0.27037631973106746
Croatian,Vietnamese,0.5499703959208336
Croatian,Xhosa,0.6261478802112775
Croatian,Zulu,0.8629337027123853
Czech,Czech,0.9999999774506688
Czech,Dutch,0.5581382279830671
Czech,Farsi,0.412009385742794
Czech,German,0.5256248783627906
Czech,Hausa,0.583219353414404
Czech,Hindi,0.6159929397836117
Czech,Hungarian,0.4617215065606278
Czech,Indonesian,0.5828132838877369
Czech,Kazakh,0.5781348816041726
Czech,Malyalam,0.5611374027771264
Czech,Maori,0.6457637000061958
Czech,Marathi,0.5435564820443572
Czech,Polish,0.535349819784024
Czech,Porteguese,0.449766225765463
Czech,Russian,0.7522232180725995
Czech,Spanish,0.8210241868302107
Czech,Swedish,0.446006790671324
Czech,Telugu,0.05289088555895718
Czech,Thai,0.0037187795248829164
Czech,Urdu,0.2974476493430107
Czech,Vietnamese,0.4105217730484195
Czech,Xhosa,0.4739922645432163
Czech,Zulu,0.6920531148979884
Dutch,Dutch,0.9999999999999999
Dutch,Farsi,0.4419189273935102
Dutch,German,0.7779178054045612
Dutch,Hausa,0.3523806351505926
Dutch,Hindi,0.7349785682200394
Dutch,Hungarian,0.6442458682996368
Dutch,Indonesian,0.3731631156325603
Dutch,Kazakh,0.5495702206507758
Dutch,Malyalam,0.439486721261599
Dutch,Maori,0.38266121348826565
Dutch,Marathi,0.7103950932369603
Dutch,Polish,0.5668672690694307
Dutch,Porteguese,0.4813324601293189
Dutch,Russian,0.47963423875676114
Dutch,Spanish,0.48451778972177006
Dutch,Swedish,0.8711698036315736
Dutch,Telugu,0.04946213158964568
Dutch,Thai,0.00451791344836874
Dutch,Urdu,0.7364887539927623
Dutch,Vietnamese,0.3633925655285024
Dutch,Xhosa,0.48737702065878835
Dutch,Zulu,0.4079560780123316
Farsi,Farsi,0.9999999957292219
Farsi,German,0.3738711077906962
Farsi,Hausa,0.2738626492550562
Farsi,Hindi,0.35504714756924405
Farsi,Hungarian,0.6750796275916462
Farsi,Indonesian,0.3342602451956243
Farsi,Kazakh,0.4147752583363544
Farsi,Malyalam,0.1849064410715781
Farsi,Maori,0.2077488240228051
Farsi,Marathi,0.293637112402659
Farsi,Polish,0.394102498013838
Farsi,Porteguese,0.2881721389957489
Farsi,Russian,0.35117024465457447
Farsi,Spanish,0.2960165848879235
Farsi,Swedish,0.3853057678228095
Farsi,Telugu,0.049279930388117156
Farsi,Thai,0.002394927088292236
Farsi,Urdu,0.23167662475161452
Farsi,Vietnamese,0.3284253504265785
Farsi,Xhosa,0.2597266357173243
Farsi,Zulu,0.22809820715321957
German,German,0.9999999830584465
German,Hausa,0.46164638224016513
German,Hindi,0.8227581046797894
German,Hungarian,0.48150532018162345
German,Indonesian,0.5461426660594361
German,Kazakh,0.5833466995178663
German,Malyalam,0.5096244590151608
German,Maori,0.43224613581667815
German,Marathi,0.8069531817381901
German,Polish,0.4745002593131438
German,Porteguese,0.38066434653336445
German,Russian,0.5129972929227201
German,Spanish,0.5144674803027115
German,Swedish,0.8021105977918617
German,Telugu,0.03700098374195114
German,Thai,0.006055172308821751
German,Urdu,0.6972255077651577
German,Vietnamese,0.4559024555654814
German,Xhosa,0.45356654822520515
German,Zulu,0.47200932652904815
Hausa,Hausa,0.9999999923900195
Hausa,Hindi,0.596475907196945
