
,3342
a,26202
n̪,2352
aː,5197
m,6837
t̪,9139
eː,1427
j,7229
ɾ,4923
i,9532
n,5495
p,5495
k,9514
ʋ,4596
iː,605
ʈ,4276
u,10665
e,2168
l,4187
t͡ʃ,2266
uː,416
ɭ,3065
ŋ,990
ெ,603
ா,1212
r,3955
ɻ,720
ɳ,1207
d͡ʒ,138
#,75
o,359
*,28
s,140
h,26
ʂ,160
ே,616
&,3
ɲ,107
ஃ,20
ௗ,7
​,34
oː,52
/,12
%,1
@,1
$,2
