po,16872
oc,3534
č,17880
̌e,16913
et,9367
tk,1842
ku,4442
st,20299
tv,6728
vo,20021
or,9471
ri,15963
Bo,3056
og,11733
ne,18673
eb,3910
bo,5084
ze,4172
em,10906
mʎ,2764
ʎu,3635
u.,3062
Ze,214
ʎa,2885
bi,9819
ij,15690
ja,8738
as,12834
š,27866
pu,3235
us,5752
ta,14447
pr,15107
ra,26243
az,6683
zn,2194
na,29742
a;,1087
am,11451
ma,15112
se,14860
ro,12704
os,14983
ti,21515
ir,2690
al,7522
la,13135
ad,13173
be,3223
ez,3443
zd,1228
da,21231
an,12266
no,12233
om,12443
Du,127
ux,1079
oz,3850
ž,12034
̌j,1055
ji,7664
le,6341
bd,103
di,9340
io,5547
je,44501
od,17338
a.,7059
re,14710
ec,9161
g:,33
"N,642
Ne,2177
ek,7238
ka,15037
bu,2594
ud,5441
de,7182
sv,14539
vj,3724
tl,531
lo,8139
t!,66
!",1427
t.,418
vi,20527
id,3685
dj,3075
do,10308
ob,5560
br,3896
av,10976
me,8626
e.,4345
Sv,1046
zv,1818
va,17681
n,,977
mu,5896
ć,17986
́.,27
Ta,1721
ak,10596
ko,20383
ve,16849
er,7137
r,,470
pa,5731
ju,5324
ut,3318
tr,5548
rv,1360
i.,3947
sr,2330
ed,11139
el,7759
li,15487
a!,1054
o.,1621
ac,3060
̌i,12769
in,15526
ni,20918
m.,1743
dr,3162
ru,6584
ug,2465
gi,1566
"V,129
Vo,313
sk,6074
up,2344
pe,1792
dn,3124
mj,1654
es,11030
to,13665
ok,4697
op,3338
pn,153
o!,384
Ko,444
a,,9864
pʎ,420
ʎe,5034
en,10568
mo,9277
kl,2267
il,6969
sj,1321
it,11469
m,,2065
ab,2654
bl,1564
im,17568
pl,1726
on,10293
sn,1932
oj,20549
jo,1836
vr,4008
rs,1786
i,,5121
ʎi,2005
̌t,7427
si,9354
ik,4732
kn,878
iz,7201
ov,24035
e,,8266
́i,2929
du,3359
lu,3912
uc,4175
at͡s,2672
t͡si,4646
ag,2398
gd,632
go,11269
tʎ,30
uj,2174
u!,486
dv,2261
́e,9197
vl,475
aɲ,1585
ɲe,7137
́u,3360
ix,9030
ki,3484
u,,4126
aj,7582
vʎ,1195
rt,1822
k',621
ev,4967
iv,4306
pt,388
it͡s,5238
t͡se,2999
ol,3181
te,12435
ʎo,143
m!,310
St,390
ke,3179
gr,3388
rd,1043
mi,5682
kr,6993
at,11863
sl,4701
i:,1926
"P,360
Pl,30
mn,1377
ap,2759
un,1931
e!,1296
i!,842
ic,2079
́a,1579
gm,33
za,12106
vt͡s,376
nu,5743
d,,398
Na,1377
̌o,1463
̌n,1392
sp,3432
ar,9064
ib,747
ba,3774
t͡sa,3693
ot͡s,1023
uz,4632
ga,11579
̌k,1081
ns,999
x.,493
m:,604
dl,309
Vl,16
jt,886
zr,2955
"E,189
Ev,397
o,,2551
iʎ,381
e:,2069
xr,784
ax,9790
ot,5835
eo,1129
sa,8012
js,2091
dm,488
eg,6739
To,444
su,6925
Ka,1845
Ja,7950
xv,7406
g,,252
ao,6424
kv,716
oʎ,1353
ʎs,196
rm,196
̌d,323
ad͡ʑ,824
d͡ʑu,1212
Ip,37
k,,349
vu,3130
aʎ,4821
xa,2600
xn,117
̌a,6495
is,11914
Ed,137
sm,1757
gl,2803
zl,1707
Ri,218
t;,103
Pr,913
Pi,147
tj,743
ls,420
Zl,39
nd,1262
ks,107
Dr,95
et͡s,1007
Gi,362
xo,2818
Ku,77
̌.,224
Tr,169
Ti,396
ig,856
s,,175
As,336
̌u,2821
ur,562
Eu,25
uf,51
fr,264
zm,933
uv,719
u:,1548
"S,542
Sa,1422
tu,2619
̌,,481
um,1369
mr,1326
Ni,509
n.,502
.",2670
iɲ,989
eɲ,1043
zo,1033
Č,538
ɲa,2014
No,212
d͡ʑe,2242
so,914
Od,564
"G,172
Gl,233
Ž,279
jk,275
ɲi,4230
xu,1452
Zm,6
uk,2510
g.,108
On,1396
"Z,387
Za,1943
u?,216
?",747
dg,923
'D,61
Da,1843
ɲ,,37
!',431
'",326
Vi,279
eʎ,1521
ʎn,71
o:,493
ub,2200
ɲo,346
Sp,99
̌c,458
Ut,65
vn,851
rt͡s,1022
ed͡ʑ,1216
a:,1500
Gd,71
i?,489
"C,94
uo,471
u;,408
"T,329
Tk,435
o?,284
Š,1989
a?,476
a",66
",,213
"K,286
Po,1508
rb,170
g!,33
ep,1068
zi,3195
t,,504
t͡su,1456
d͡ʑa,594
dɲ,245
"J,316
Je,2291
vs,1011
zb,1572
Ra,361
rɲ,208
̌:,63
tO,27
Ó,181
rz,819
Is,666
ut͡s,325
"M,116
Mu,72
Ab,744
k.,242
̌r,1090
zʎ,59
rg,252
t?,36
od͡ʑ,1461
ds,483
ex,911
gu,1570
"x,119
jd,116
n!,86
pi,2832
l?,5
m",36
Sl,211
j!,187
Kr,406
Ob,196
d͡ʑi,618
Vj,33
xe,797
Ir,18
Me,342
ae,3068
l;,24
l,,303
La,155
Ad,134
Si,853
Br,58
Ju,637
l.,90
Tu,81
l-,19
-K,2
aa,565
"A,218
Ak,573
md,180
Re,419
"B,149
En,76
Ov,606
ɲu,700
kc,475
Ke,209
tn,1078
Ma,636
d.,225
oa,736
"O,398
oi,178
af,350
fe,195
xt,242
ef,235
fi,189
pc,171
"ʎ,11
Al,916
vd,407
m;,227
bʎ,242
uʎ,348
rx,261
Vr,180
e;,611
oɲ,368
zg,604
z;,4
ud͡ʑ,490
"U,275
Ud͡ʑ,29
Uz,316
nk,300
oo,16
Pʎ,8
eu,135
ln,350
jv,111
Pe,258
ul,1280
Iz,2697
oe,89
au,873
Ar,660
nt͡s,711
i;,510
ej,1687
kʎ,48
Jo,1723
pɲ,30
"I,283
id͡ʑ,619
ou,232
ox,716
v.,269
v,,537
n:,90
k!,36
ms,468
̌l,529
zu,724
Li,135
jm,130
ml,424
t͡s,,111
jn,673
Bl,200
Go,900
j,,803
s.,150
z,,41
if,90
fa,642
El,533
Ki,153
jt͡s,534
Do,1308
Mi,439
Pu,129
Se,244
bt,6
De,112
lm,86
t͡s.,73
Ba,569
Er,17
ea,449
r.,179
(t,9
d),1
).,8
Lu,45
An,161
Le,191
ft,95
xi,421
Pa,314
Fi,229
Am,467
rk,189
rj,560
Ge,195
Ga,280
So,117
Eb,71
rp,143
Us,216
bj,797
kt,68
f,,23
x,,645
Di,87
Of,24
b.,27
ai,328
Op,128
̌b,463
gn,742
Zb,115
mt͡s,176
ts,558
uu,29
Te,170
n;,124
Lo,60
Ur,84
ld,99
lk,134
Ji,318
Id,184
Ve,100
Mo,1282
Tv,113
Be,786
Aj,54
ge,797
Eg,438
ip,1621
Zn,77
'T,76
a',32
',,108
bz,27
'O,154
Fa,38
tp,289
m?,188
o;,201
Bi,374
Oc,67
r-,14
-L,7
Dv,55
rn,1030
Zu,5
Em,9
ei,119
̌p,4
Es,100
mc,23
mk,153
̌ɲ,646
v!,65
"R,66
Ru,143
nc,183
rl,304
sʎ,121
ie,293
n?,50
j;,50
Pt,1
̌ʎ,228
"D,304
d͡ʑo,407
vɲ,87
rʎ,50
nd͡ʑ,186
̌?,97
Bj,23
e",63
̌m,249
j.,297
Ro,85
g",1
"v,3
ee,175
Zd,12
d;,25
b,,117
z.,41
e?,409
rc,305
TO,96
jb,111
r!,27
'K,61
?',138
Su,172
x",10
"z,6
u",29
t",10
i",76
"a,8
pk,151
Zo,13
́o,134
,",27
"m,6
Im,169
d!,55
̌!,60
rd͡ʑ,171
lb,42
mp,28
gɲ,488
j:,104
Ot,206
n-,67
-A,13
.',553
̌;,30
o",24
"k,7
ui,83
ia,89
".,35
db,457
o-,11
-t,5
Sj,86
Uj,19
"n,13
zj,138
Bu,129
ue,215
s!,39
Ef,226
kp,6
u',9
t͡sr,205
Ox,61
ps,373
'M,33
m',32
'P,99
i',27
Dj,34
pj,386
p§,3
§i,8
v",9
'N,153
'A,42
'J,92
x:,187
'C,13
Kc,48
l:,22
Zi,65
ua,213
̌t͡s,21
bs,130
uɲ,93
Ez,273
t:,49
Mj,18
Um,49
́n,170
Ax,399
z:,5
Os,229
Up,65
E,,2
t͡so,214
jʎ,17
t͡s;,15
j?,34
v?,25
k:,40
ʎd,2
"ɲ,2
dz,182
-S,41
sx,140
g;,15
"d,14
lp,12
lx,24
In,15
vc,240
t͡sj,93
Uk,30
p,,48
ʎ.,47
bn,366
v;,27
'S,93
'E,54
Ub,17
bɲ,40
Et,99
Sk,56
-e,2
d",4
'V,29
x!,88
́;,6
v:,73
lt͡s,500
jp,31
"i,28
jc,38
Ml,19
x;,51
Uv,24
-E,24
Om,24
fo,63
a-,16
lv,4
nx,43
Av,13
kb,16
́,,26
"s,8
r?,10
t͡s:,11
'x,29
lz,21
d?,15
r",5
ɲ.,39
tɲ,89
pt͡s,105
"p,13
p!,4
"L,26
Ia,11
Sn,13
t͡sv,76
̌d͡ʑ,51
jg,8
e-,22
-b,4
"F,4
kO,5
i-,24
-F,3
Fe,9
"j,19
"u,2
p:,5
Zg,10
"o,4
t͡s?,8
Va,70
'Z,84
'I,48
p",3
ʎ,,118
Fu,2
xl,69
fj,4
sb,4
̌v,137
Ex,13
xs,26
Gu,15
'ʎ,3
[5,2
5a,2
a],18
[6,4
6b,4
b],19
5b,2
6a,4
d:,154
km,23
Uc,130
'U,69
Ok,56
Ot͡s,45
-M,20
-s,9
Og,44
ʎt,2
tx,36
-a,4
mt,38
r:,31
'B,31
p.,15
̌",6
ʎ:,22
It,37
f.,2
(7,87
7:,115
:2,372
26,23
6),188
27,21
7),183
28,21
8),174
́v,4
29,46
9),166
(8,188
8:,204
:1,667
1),179
2),231
:3,208
3),224
:4,145
4),212
:5,120
5),195
:6,107
:7,99
:8,95
:9,93
10,171
0),153
11,83
12,160
13,95
14,111
15,58
16,55
17,82
18,95
19,102
20,49
21,103
22,105
23,60
24,50
25,27
Ps,62
tm,81
s;,21
-d,8
st͡s,86
-x,60
Sm,57
'o,311
'G,47
t',430
mO,8
s",2
Ud,44
kɲ,127
k;,32
Ol,3
Gr,75
Zv,15
Mn,57
j",8
n',7
(2,314
1:,174
37,11
2:,321
30,45
jj,3
Tj,5
-p,9
s:,88
Kɲ,32
́ɲ,58
ʎk,101
jɲ,13
Sr,53
́k,39
nt,31
'.,37
bv,21
lt,56
ɲt͡s,22
r;,37
'R,15
"t,3
..,71
Nu,31
d',7
iu,4
xʎ,19
-k,5
dʎ,28
-z,6
Uʎ,3
(5,215
5:,175
(6,285
6:,177
e',17
zp,1
̌g,19
b;,9
kt͡s,5
mb,31
t͡sk,24
Az,107
gʎ,24
s?,14
s',7
Il,147
gv,34
np,15
Mr,29
rO,15
MO,1
Gɲ,4
fu,53
xb,4
of,85
fs,4
nr,9
ɲ!,6
(1,368
́s,4
Ic,5
At,37
Ij,8
":,1
sg,8
xz,5
t-,76
-B,10
O,,42
Ux,13
́',75
g?,9
Ag,13
l',167
Oz,9
fx,11
(T,2
.),11
(3,147
0:,158
gb,4
bm,14
-v,2
fk,2
kx,4
tb,5
-u,17
d-,31
u-,3
mz,4
r),4
):,3
(S,3
'n,2
Un,23
nm,1
ɲs,102
o',21
lg,47
3:,107
ɲ;,9
'-,1
69,38
9:,290
d͡ʑ!,1
vk,16
(P,1
(i,3
a),6
Kl,37
(M,1
K',25
:',1
ʎt͡s,21
-m,4
Ek,24
Af,12
-D,5
-R,5
b:,7
);,2
-P,6
-G,10
xm,22
kz,4
-T,1
n),1
),,5
kd,1
m),3
fl,8
fn,14
x-,1
mg,2
Kn,20
jO,1
Or,27
k?,19
"c,1
"b,5
Ug,19
Ib,5
mɲ,15
kj,19
Ej,2
p;,3
(4,221
4:,185
(j,2
e),2
(s,1
[4,3
1],1
(E,1
Ik,4
jx,5
Uo,1
(n,1
u),1
(g,1
p),1
rf,48
ʎ!,19
";,8
(k,3
)!,1
(z,1
́!,10
"),2
́m,5
ng,5
ʎ?,3
l!,5
fm,2
v-,3
-j,3
bx,6
xj,22
Ui,27
jz,3
(A,1
t͡s!,10
k",3
31,39
32,13
33,11
34,33
35,11
36,23
38,30
mx,6
39,20
40,47
41,45
42,22
43,4
44,32
b?,1
bk,4
Pj,41
vA,2
Ä,78
̈i,13
sɲ,8
Eʎ,2
j',9
';,8
.s,5
Ul,18
t͡s),1
[8,4
8a,2
8b,2
I,,6
l",1
[2,2
x?,41
ʎ;,6
-o,1
dk,65
'ɲ,3
̌',3
'z,1
45,21
46,15
47,13
48,18
49,24
50,8
51,23
52,12
53,9
54,9
'L,3
,',6
't,5
ft͡s,2
Iv,109
rA,8
̈u,2
nA,16
k-,1
(d,1
i),3
̌x,17
jl,3
xd,5
b-,1
-Z,1
ɲ:,1
55,24
56,14
57,12
58,12
59,18
60,13
61,9
62,13
63,13
64,22
65,14
66,2
xg,1
zk,1
fd,1
(J,3
!),2
̌-,1
bO,4
t͡s-,1
̈a,48
tA,5
Oj,3
.S,1
Ks,2
A,,1
nb,10
68,36
70,6
71,1
72,1
dd͡ʑ,1
'k,3
gp,1
.;,1
jf,8
gt,4
lf,5
r',5
lc,4
'?,15
g',22
'b,2
z',1
PO,1
'!,5
zd͡ʑ,1
?!,1
dO,5
[1,14
]Z,1
Gn,2
0a,3
0b,3
Ć,1
DO,1
':,3
́A,2
́j,1
p?,1
̈e,11
̈o,4
(9,80
$A,16
AL,15
LE,15
EF,8
$B,8
BE,8
ET,31
$G,8
GI,8
IM,8
ME,30
EL,8
$x,16
xE,16
$V,7
VA,7
AU,15
$Z,8
ZA,8
AJ,16
JI,16
IN,24
$T,16
TE,8
$J,8
JO,8
OD,8
$K,15
KA,8
AF,8
$L,8
LA,8
AM,15
ED,8
$N,8
NU,8
UN,8
$P,8
PE,8
ZO,1
KO,7
OF,7
$R,8
RE,8
ES,8
$S,22
̌I,8
TA,8
́?,3
n§,1
t͡sA,4
$D,7
DA,7
$M,7
EM,7
SA,14
EK,7
AD,7
DE,7
dA,20
[3,6
3b,3
[9,3
9a,3
vd͡ʑ,1
TT,1
Sx,4
bA,3
pO,5
sA,2
nO,2
pA,2
67,7
t͡st,4
lO,3
75,10
76,12
77,20
80,19
81,16
83,18
84,12
85,13
88,18
89,52
92,15
Tl,3
02,28
lA,2
d͡ʑ',4
̌A,2
08,13
vg,1
jr,3
̌§,1
Ig,1
̌),1
]J,1
9b,2
xɲ,3
'm,1
b§,2
Vu,3
Rj,1
b!,3
mf,8
n",4
lɲ,1
NI,1
"?,2
Sʎ,1
Kʎ,1
3a,1
.?,1
Bʎ,1
t͡sn,3
7b,2
7a,2
́",1
-c,1
ɲk,1
fʎ,1
Ap,3
dx,1
j§,1
§e,1
nl,1
Rz,1
z!,2
uE,1
kA,8
-r,2
OI,1
t͡s",1
v',2
's,1
x',2
px,3
Ut͡s,1
jA,1
1a,1
1b,1
̌f,2
(a,2
xk,1
ɲ?,1
nʎ,2
-n,2
(",1
.o,1
.B,1
?),1
'i,1
'p,1
]E,1
Zr,1
m-,1
ʎA,1
Ða,4
'Ð,2
I:,3
z?,1
́:,1
tf,3
)",1
"t͡s,4
bb,5
Bd,7
"',1
ff,1
sc,1
Au,1
Kv,1
td,2
tt͡s,1
dt͡s,1
Tm,1
:c,1
